rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
497,MRSH,Marsh,189.69,191,0.7,,Narrow,,Financial Services,Insurance Brokers
498,IBM,International Business Machines Corp,223.65,225,0.6,,Narrow,,Technology,Information Technology Services
499,GILD,Gilead Sciences Inc,130.21,131,0.6,,Wide,,Healthcare,Drug Manufacturers - General
500,PNC,PNC Financial Services Group Inc,249.87,251,0.5,,Narrow,,Financial Services,Banks - Regional
501,CVS,CVS Health Corp,104.43,105,0.5,,None,,Healthcare,Healthcare Plans
502,QRVO,Qorvo Inc,90.57,91,0.5,,None,,Technology,Semiconductors
503,XOM,ExxonMobil Holdings Corp,155.44,156,0.4,,Narrow,,Energy,Oil & Gas Integrated
504,AJG,Arthur J. Gallagher & Co,249.42,250,0.2,,Narrow,,Financial Services,Insurance Brokers
505,EPD,Enterprise Products Partners LP,38.05,38,-0.1,,Wide,,Energy,Oil & Gas Midstream
506,BRK/A,Berkshire Hathaway Inc Class A,766600.02,765000,-0.2,,Narrow,,Financial Services,Insurance - Diversified
507,SHW,Sherwin-Williams Co,340.85,340,-0.2,,Wide,,Basic Materials,Specialty Chemicals
508,BRK/B,Berkshire Hathaway Inc Class B,511.54,510,-0.3,,Narrow,,Financial Services,Insurance - Diversified
509,WST,West Pharmaceutical Services Inc,340.96,340,-0.3,,Wide,,Healthcare,Medical Instruments & Supplies
510,CL,Colgate-Palmolive Co,91.3,91,-0.3,,Wide,,Consumer Defensive,Household & Personal Products
511,AXP,American Express Co,336.25,335,-0.4,2,Wide,,Financial Services,Credit Services
512,ORLY,O'Reilly Automotive Inc,89.35,89,-0.4,,Wide,,Consumer Cyclical,Auto Parts
513,VALE,Vale SA ADR,15.06,15,-0.4,,None,,Basic Materials,Other Industrial Metals & Mining
514,ULTA,Ulta Beauty Inc,512.83,510,-0.6,,Narrow,,Consumer Cyclical,Specialty Retail
515,FFIV,F5 Inc,402.57,400,-0.6,,Narrow,,Technology,Software - Infrastructure
516,LNG,Cheniere Energy Inc,263.57,262,-0.6,,Wide,,Energy,Oil & Gas Midstream
517,RTX,RTX Corp,215.22,214,-0.6,,Wide,,Industrials,Aerospace & Defense
518,FE,FirstEnergy Corp,48.31,48,-0.6,,Narrow,,Utilities,Utilities - Regulated Electric
519,ST,Sensata Technologies Holding PLC,46.29,46,-0.6,,None,,Technology,Scientific & Technical Instruments
520,DG,Dollar General Corp,127.05,126,-0.8,,Narrow,,Consumer Defensive,Discount Stores
521,ENB,Enbridge Inc,54.46,54,-0.8,,Narrow,,Energy,Oil & Gas Midstream
522,FITB,Fifth Third Bancorp,56.5,56,-0.9,,Narrow,,Financial Services,Banks - Regional
523,NWS,News Corp Class B,31.27,31,-0.9,,None,,Communication Services,Entertainment
524,BEPC,Brookfield Renewable Corp Ordinary Shares - Class A (Exchangeable Sub Voting),33.35,33,-1.0,,None,,Utilities,Utilities - Renewable
525,AMP,Ameriprise Financial Inc,545.84,540,-1.1,3,Narrow,,Financial Services,Asset Management
526,RSG,Republic Services Inc,210.55,208,-1.2,,Wide,,Industrials,Waste Management
527,ADP,Automatic Data Processing Inc,266.46,263,-1.3,,Narrow,,Technology,Software - Application
528,FANG,Diamondback Energy Inc,202.95,200,-1.5,,Narrow,,Energy,Oil & Gas E&P
529,AEE,Ameren Corp,109.61,108,-1.5,3,Narrow,,Utilities,Utilities - Regulated Electric
530,TECH,Bio-Techne Corp,72.09,71,-1.5,,Narrow,,Healthcare,Biotechnology
531,BCS,Barclays PLC ADR,27.5,27.1,-1.5,,None,,Financial Services,Banks - Diversified
532,ATO,Atmos Energy Corp,172.78,170,-1.6,,Narrow,,Utilities,Utilities - Regulated Gas
533,URBN,Urban Outfitters Inc,74.18,73,-1.6,,None,,Consumer Cyclical,Apparel Retail
534,BUD,Anheuser-Busch InBev SA/NV ADR,86.48,85,-1.7,5,Wide,,Consumer Defensive,Beverages - Brewers
535,IR,Ingersoll Rand Inc,83.38,82,-1.7,,Narrow,,Industrials,Specialty Industrial Machinery
536,EXC,Exelon Corp,45.82,45,-1.8,,Narrow,,Utilities,Utilities - Regulated Electric
537,IEX,IDEX Corp,230.45,226,-1.9,,Wide,,Industrials,Specialty Industrial Machinery
538,CBRE,CBRE Group Inc Class A,146.81,144,-1.9,,Narrow,,Real Estate,Real Estate Services
539,HD,The Home Depot Inc,331.96,325,-2.1,,Wide,,Consumer Cyclical,Home Improvement Retail
540,PCTY,Paylocity Holding Corp,137.9,135,-2.1,,None,,Technology,Software - Application
541,PEG,Public Service Enterprise Group Inc,76.68,75,-2.2,,Narrow,,Utilities,Utilities - Regulated Electric
542,VRT,Vertiv Holdings Co Class A,241.57,236,-2.3,,Narrow,,Industrials,Electrical Equipment & Parts
543,EA,Electronic Arts Inc,209.86,205,-2.3,,Narrow,,Communication Services,Electronic Gaming & Multimedia
544,CTAS,Cintas Corp,204.63,200,-2.3,,Wide,,Industrials,Specialty Business Services
545,SF,Stifel Financial Corp,82.91,81,-2.3,,Narrow,,Financial Services,Capital Markets
546,FSLR,First Solar Inc,211.03,206,-2.4,,None,,Technology,Solar
547,EW,Edwards Lifesciences Corp,86.07,84,-2.4,,Narrow,,Healthcare,Medical Devices
548,ZION,Zions Bancorp NA,69.7,68,-2.4,,None,,Financial Services,Banks - Regional
549,TMO,Thermo Fisher Scientific Inc,574.3,560,-2.5,,Wide,,Healthcare,Diagnostics & Research
550,PSA,Public Storage,324.17,316,-2.5,,None,,Real Estate,REIT - Industrial
551,CVX,Chevron Corp,196.83,192,-2.5,,Narrow,,Energy,Oil & Gas Integrated
552,EOG,EOG Resources Inc,148.69,145,-2.5,,Narrow,,Energy,Oil & Gas E&P
553,MTB,M&T Bank Corp,246.29,240,-2.6,,Narrow,,Financial Services,Banks - Regional
554,C,Citigroup Inc,132.45,129,-2.6,,None,,Financial Services,Banks - Diversified
555,WM,Waste Management Inc,226.55,220,-2.9,,Wide,,Industrials,Waste Management
556,BALL,Ball Corp,64.9,63,-2.9,,Narrow,,Consumer Cyclical,Packaging & Containers
557,OWL,Blue Owl Capital Inc Ordinary Shares - Class A,10.3,10,-2.9,,Narrow,,Financial Services,Asset Management
558,SYK,Stryker Corp,325.7,316,-3.0,,Wide,,Healthcare,Medical Devices
559,PM,Philip Morris International Inc,190.82,185,-3.0,,Wide,,Consumer Defensive,Tobacco
560,KOF,Coca-Cola Femsa SAB de CV ADR,108.27,105,-3.0,,Wide,,Consumer Defensive,Beverages - Non-Alcoholic
561,BBD,Bank Bradesco SA ADR,3.61,3.5,-3.0,,None,,Financial Services,Banks - Regional
562,GWW,W.W. Grainger Inc,1382.22,1340,-3.1,,Wide,,Industrials,Industrial Distribution
563,AEG,Aegon Ltd ADR,9.44,9.15,-3.1,3,None,,Financial Services,Insurance - Diversified
564,WCN,Waste Connections Inc,167.38,162,-3.2,,Wide,,Industrials,Waste Management
565,PLD,Prologis Inc,144.61,140,-3.2,,None,,Real Estate,REIT - Industrial
566,GM,General Motors Co,88.86,86,-3.2,,None,,Consumer Cyclical,Auto Manufacturers
567,MGEE,MGE Energy Inc,79.53,77,-3.2,,Narrow,,Utilities,Utilities - Regulated Electric
568,NI,NiSource Inc,44.43,43,-3.2,,Narrow,,Utilities,Utilities - Regulated Gas
569,FHI,Federated Hermes Inc Class B,59.96,58,-3.3,,None,,Financial Services,Asset Management
570,CMG,Chipotle Mexican Grill Inc,37.22,36,-3.3,,Wide,,Consumer Cyclical,Restaurants
571,MAC,Macerich Co,25.84,25,-3.3,,None,,Real Estate,REIT - Retail
572,PAG,Penske Automotive Group Inc,217.31,210,-3.4,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
573,H,Hyatt Hotels Corp Class A,174.06,168,-3.5,,Narrow,,Consumer Cyclical,Lodging
574,GE,GE Aerospace,360.07,347,-3.6,,Wide,,Industrials,Aerospace & Defense
575,EVRG,Evergy Inc,83.01,80,-3.6,,Narrow,,Utilities,Utilities - Regulated Electric
576,OXY,Occidental Petroleum Corp,57.07,55,-3.6,,None,,Energy,Oil & Gas E&P
577,LYG,Lloyds Banking Group PLC ADR,6.17,5.95,-3.6,,Narrow,,Financial Services,Banks - Regional
578,KMI,Kinder Morgan Inc Class P,32.18,31,-3.7,,Narrow,,Energy,Oil & Gas Midstream
579,HUM,Humana Inc,363.86,350,-3.8,,Narrow,,Healthcare,Healthcare Plans
580,AWK,American Water Works Co Inc,134.17,129,-3.9,4,Narrow,,Utilities,Utilities - Regulated Water
581,PBA,Pembina Pipeline Corp,48.93,47,-3.9,,None,,Energy,Oil & Gas Midstream
582,MA,Mastercard Inc Class A,573.1,550,-4.0,,Wide,,Financial Services,Credit Services
583,FERG,Ferguson Enterprises Inc,234.33,225,-4.0,,Narrow,,Industrials,Industrial Distribution
584,QLYS,Qualys Inc,144.75,139,-4.0,,Narrow,,Technology,Software - Infrastructure
585,ZTO,ZTO Express (Cayman) Inc ADR,24.02,23,-4.2,,Narrow,,Industrials,Integrated Freight & Logistics
586,REGN,Regeneron Pharmaceuticals Inc,762.63,730,-4.3,,Narrow,,Healthcare,Biotechnology
587,KLAC,KLA Corp,182.82,175,-4.3,,Wide,,Technology,Semiconductor Equipment & Materials
588,ED,Consolidated Edison Inc,108.85,104,-4.5,,None,,Utilities,Utilities - Regulated Electric
589,IP,International Paper Co,40.83,39,-4.5,,None,,Consumer Cyclical,Packaging & Containers
590,WTRG,Essential Utilities Inc,39.85,38,-4.6,,Narrow,,Utilities,Utilities - Regulated Water
591,TER,Teradyne Inc,367.69,350,-4.8,,Wide,,Technology,Semiconductor Equipment & Materials
592,SEIC,SEI Investments Co,102.98,98,-4.8,,Narrow,,Financial Services,Asset Management
593,NOV,NOV Inc,19.43,18.5,-4.8,,None,,Energy,Oil & Gas Equipment & Services
594,HSBC,HSBC Holdings PLC ADR,106.42,101,-5.1,,Narrow,,Financial Services,Banks - Diversified
595,LH,Labcorp Holdings Inc,309.2,293,-5.2,,Narrow,,Healthcare,Diagnostics & Research
596,ICLR,Icon PLC,163.56,155,-5.2,,None,,Healthcare,Diagnostics & Research
597,SJM,JM Smucker Co,119.26,113,-5.2,,None,,Consumer Defensive,Packaged Foods
598,UBS,UBS Group AG Registered Shares,52.74,50,-5.2,,Narrow,,Financial Services,Banks - Diversified
599,DT,Dynatrace Inc Ordinary Shares,44.32,42,-5.2,,Narrow,,Technology,Software - Application
600,DXCM,DexCom Inc,83.45,79,-5.3,,Narrow,,Healthcare,Medical Devices
601,AMX,America Movil SAB de CV ADR - Series B,25.35,24,-5.3,3,Narrow,,Communication Services,Telecom Services
602,ATHM,Autohome Inc ADR,23.22,22,-5.3,,None,,Communication Services,Internet Content & Information
603,AON,Aon PLC Class A,360.55,341,-5.4,,Narrow,,Financial Services,Insurance Brokers
604,XEL,Xcel Energy Inc,78.2,74,-5.4,,Narrow,,Utilities,Utilities - Regulated Electric
605,IVZ,Invesco Ltd,29.6,28,-5.4,,None,,Financial Services,Asset Management
606,LYFT,Lyft Inc Class A,15.86,15,-5.4,,None,,Technology,Software - Application
607,EVR,Evercore Inc Class A,320.56,303,-5.5,,Narrow,,Financial Services,Capital Markets
608,CMS,CMS Energy Corp,71.99,68,-5.5,,Narrow,,Utilities,Utilities - Regulated Electric
609,VRTX,Vertex Pharmaceuticals Inc,477.1,450,-5.7,,Narrow,,Healthcare,Biotechnology
610,URI,United Rentals Inc,1079.26,1017,-5.8,,Narrow,,Industrials,Rental & Leasing Services
611,W,Wayfair Inc Class A,84.9,80,-5.8,,None,,Consumer Cyclical,Internet Retail
612,MANH,Manhattan Associates Inc,191.36,180,-5.9,,Narrow,,Technology,Software - Application
613,PAYX,Paychex Inc,116.84,110,-5.9,,Narrow,,Technology,Software - Application
614,VTRS,Viatris Inc,17.56,16.5,-6.0,,None,,Healthcare,Drug Manufacturers - Specialty & Generic
615,LFUS,Littelfuse Inc,442.13,415,-6.1,,Narrow,,Technology,Electronic Components
616,RBA,RB Global Inc,109.74,103,-6.1,,Narrow,,Industrials,Specialty Business Services
617,PGR,Progressive Corp,211.42,198,-6.3,,Narrow,,Financial Services,Insurance - Property & Casualty
618,WMB,Williams Companies Inc,71.54,67,-6.3,,Narrow,,Energy,Oil & Gas Midstream
619,WDAY,Workday Inc Class A,160.34,150,-6.4,,Narrow,,Technology,Software - Application
620,CNS,Cohen & Steers Inc,82.27,77,-6.4,,Narrow,,Financial Services,Asset Management
621,CAH,Cardinal Health Inc,230.03,215,-6.5,,Narrow,,Healthcare,Medical Distribution
622,VRSN,VeriSign Inc,290.02,270,-6.9,,Wide,,Technology,Software - Infrastructure
623,NOK,Nokia Oyj ADR,9.14,8.5,-7.0,,None,,Technology,Communication Equipment
624,OGE,OGE Energy Corp,47.35,44,-7.1,,Narrow,,Utilities,Utilities - Regulated Electric
625,TT,Trane Technologies PLC Class A,454.95,422,-7.2,,Narrow,,Industrials,Building Products & Equipment
626,AMAT,Applied Materials Inc,507.67,470,-7.4,,Wide,,Technology,Semiconductor Equipment & Materials
627,WAT,Waters Corp,377.31,349,-7.5,,Wide,,Healthcare,Diagnostics & Research
628,MDB,MongoDB Inc Class A,337.48,312,-7.6,,None,,Technology,Software - Infrastructure
629,AAPL,Apple Inc,308.91,285,-7.7,,Wide,,Technology,Consumer Electronics
630,CCEP,Coca-Cola Europacific Partners PLC,109.46,101,-7.7,,Narrow,,Consumer Defensive,Beverages - Non-Alcoholic
631,RRC,Range Resources Corp,40.14,37,-7.8,,None,,Energy,Oil & Gas E&P
632,LSTR,Landstar System Inc,174.77,161,-7.9,,Wide,,Industrials,Integrated Freight & Logistics
633,VTR,Ventas Inc,93.51,86,-8.0,,None,,Real Estate,REIT - Healthcare Facilities
634,BP,BP PLC ADR,45.22,41.6,-8.0,,None,,Energy,Oil & Gas Integrated
635,CART,Maplebear Inc,44.6,41,-8.1,,None,,Consumer Cyclical,Internet Retail
636,NJR,New Jersey Resources Corp,57.89,53,-8.4,,Narrow,,Utilities,Utilities - Regulated Gas
637,PINS,Pinterest Inc Class A,24.01,22,-8.4,,Narrow,,Communication Services,Internet Content & Information
638,HST,Host Hotels & Resorts Inc,25.13,23,-8.5,,None,,Real Estate,REIT - Hotel & Motel
639,CHRW,C.H. Robinson Worldwide Inc,147.73,135,-8.6,,Wide,,Industrials,Integrated Freight & Logistics
640,MTZ,MasTec Inc,263.1,240,-8.8,,None,,Industrials,Engineering & Construction
641,LECO,Lincoln Electric Holdings Inc,261.31,238,-8.9,,Narrow,,Industrials,Tools & Accessories
642,GEN,Gen Digital Inc,27.45,25,-8.9,,None,,Technology,Software - Infrastructure
643,JPM,JPMorgan Chase & Co,351.79,320,-9.0,,Wide,,Financial Services,Banks - Diversified
644,ITUB,Itau Unibanco Holding SA ADR,8.46,7.7,-9.0,,None,,Financial Services,Banks - Regional
645,RIO,Rio Tinto PLC ADR,96.85,88,-9.1,,None,,Basic Materials,Other Industrial Metals & Mining
646,ARGX,argenx SE ADR,853.82,770,-9.8,,None,,Healthcare,Biotechnology
647,V,Visa Inc Class A,366.13,330,-9.9,,Wide,,Financial Services,Credit Services
648,AMG,Affiliated Managers Group Inc,366.73,330,-10.0,2,None,,Financial Services,Asset Management
649,CR,Crane Co,213.46,192,-10.1,,Wide,,Industrials,Specialty Industrial Machinery
650,AME,AMETEK Inc,241.71,217,-10.2,2,Wide,,Industrials,Specialty Industrial Machinery
651,NVS,Novartis AG ADR,156.15,140,-10.3,,Wide,,Healthcare,Drug Manufacturers - General
652,DLTR,Dollar Tree Inc,127.21,114,-10.4,,None,,Consumer Defensive,Discount Stores
653,CB,Chubb Ltd,350.68,314,-10.5,,Narrow,,Financial Services,Insurance - Property & Casualty
654,ITT,ITT Inc,195.98,175,-10.7,,Wide,,Industrials,Specialty Industrial Machinery
655,AMCX,AMC Global Media Inc Class A,11.2,10,-10.7,4,None,,Communication Services,Entertainment
656,NDAQ,Nasdaq Inc,94.19,84,-10.8,,Narrow,,Financial Services,Financial Data & Stock Exchanges
657,RBC,RBC Bearings Inc,551.31,490,-11.1,,Wide,,Industrials,Tools & Accessories
658,SAIA,Saia Inc,347.63,309,-11.1,,None,,Industrials,Trucking
659,AMGN,Amgen Inc,385.16,342,-11.2,3,Wide,,Healthcare,Drug Manufacturers - General
660,CNI,Canadian National Railway Co,127.21,113,-11.2,,Wide,,Industrials,Railroads
661,JLL,Jones Lang LaSalle Inc,355.03,315,-11.3,,Narrow,,Real Estate,Real Estate Services
662,BEN,Franklin Resources Inc,33.86,30,-11.4,,None,,Financial Services,Asset Management
663,FTNT,Fortinet Inc,161.95,143,-11.7,,Wide,,Technology,Software - Infrastructure
664,BEP,Brookfield Renewable Partners LP,32.86,29,-11.7,,None,,Utilities,Utilities - Renewable
665,E,Eni SpA ADR,55.56,49,-11.8,,None,,Energy,Oil & Gas Integrated
666,JCI,Johnson Controls International PLC Registered Shares,146.66,129,-12.0,,Narrow,,Industrials,Building Products & Equipment
667,CQP,Cheniere Energy Partners LP,65.9,58,-12.0,,Wide,,Energy,Oil & Gas Midstream
668,HPQ,HP Inc,27.27,24,-12.0,,None,,Technology,Computer Hardware
669,PAYC,Paycom Software Inc,163.96,144,-12.2,,None,,Technology,Software - Application
670,LOGI,Logitech International SA,102.48,90,-12.2,,None,,Technology,Computer Hardware
671,SO,Southern Co,94.54,83,-12.2,,Narrow,,Utilities,Utilities - Regulated Electric
672,FLR,Fluor Corp,50.17,44,-12.3,,None,,Industrials,Engineering & Construction
673,DGX,Quest Diagnostics Inc,233.01,204,-12.5,,Narrow,,Healthcare,Diagnostics & Research
674,MS,Morgan Stanley,210.42,184,-12.6,,Wide,,Financial Services,Capital Markets
675,OKTA,Okta Inc Class A,141.93,124,-12.6,,None,,Technology,Software - Infrastructure
676,HXL,Hexcel Corp,102.95,90,-12.6,,Narrow,,Industrials,Aerospace & Defense
677,NDSN,Nordson Corp,297.78,260,-12.7,,Wide,,Industrials,Specialty Industrial Machinery
678,FIVN,Five9 Inc,27.51,24,-12.8,,None,,Technology,Software - Infrastructure
679,SNOW,Snowflake Inc Ordinary Shares,293.28,255,-13.1,,None,,Technology,Software - Application
680,ITW,Illinois Tool Works Inc,286.95,249,-13.2,,Wide,,Industrials,Specialty Industrial Machinery
681,SPG,Simon Property Group Inc,229.37,199,-13.2,,None,,Real Estate,REIT - Retail
682,NTRS,Northern Trust Corp,182.19,158,-13.3,,Wide,,Financial Services,Asset Management
683,FMX,Fomento Economico Mexicano SAB de CV ADR,127.99,111,-13.3,,Narrow,,Consumer Defensive,Beverages - Brewers
684,AFRM,Affirm Holdings Inc Ordinary Shares - Class A,71.51,62,-13.3,3,Narrow,,Financial Services,Credit Services
685,BNY,Bank of New York Mellon Corp,156.33,135,-13.6,,Wide,,Financial Services,Banks - Diversified
686,PNW,Pinnacle West Capital Corp,100.99,87,-13.9,,None,,Utilities,Utilities - Regulated Electric
687,BIO,Bio-Rad Laboratories Inc Class A,325.48,280,-14.0,,Wide,,Healthcare,Medical Devices
688,PRU,Prudential Financial Inc,122.08,105,-14.0,,None,,Financial Services,Insurance - Life
689,PRU,Prudential Financial Inc,122.08,105,-14.0,,None,,Financial Services,Insurance - Life
690,TRP,TC Energy Corp,67.43,58,-14.0,,Narrow,,Energy,Oil & Gas Midstream
691,CNQ,Canadian Natural Resources Ltd,47.68,41,-14.0,,Narrow,,Energy,Oil & Gas E&P
692,PANW,Palo Alto Networks Inc,331.83,285,-14.1,,Wide,,Technology,Software - Infrastructure
693,ETSY,Etsy Inc,81.68,70,-14.3,,Narrow,,Consumer Cyclical,Internet Retail
694,UNP,Union Pacific Corp,292.13,250,-14.4,,Wide,,Industrials,Railroads
695,KO,Coca-Cola Co,87.59,75,-14.4,,Wide,,Consumer Defensive,Beverages - Non-Alcoholic
696,BNS,Bank of Nova Scotia,87.77,75,-14.5,,Narrow,,Financial Services,Banks - Diversified
697,BSAC,Banco Santander Chile ADR,34.61,29.6,-14.5,,Narrow,,Financial Services,Banks - Regional
698,MRK,Merck & Co Inc,130.2,111,-14.7,,Wide,,Healthcare,Drug Manufacturers - General
699,NVT,nVent Electric PLC,153.83,131,-14.8,,Narrow,,Industrials,Electrical Equipment & Parts
700,MFG,Mizuho Financial Group Inc ADR,10.44,8.9,-14.8,,None,,Financial Services,Banks - Regional
701,ULS,UL Solutions Inc Class A common stock,91.64,78,-14.9,,Narrow,,Industrials,Specialty Business Services
702,MTD,Mettler-Toledo International Inc,1416.3,1200,-15.3,,Narrow,,Healthcare,Diagnostics & Research
703,ETR,Entergy Corp,107.62,91,-15.4,,Narrow,,Utilities,Utilities - Regulated Electric
704,CP,Canadian Pacific Kansas City Ltd,88.89,75,-15.6,,Wide,,Industrials,Railroads
705,HLT,Hilton Worldwide Holdings Inc,320.49,270,-15.8,,Wide,,Consumer Cyclical,Lodging
706,NET,Cloudflare Inc,278.98,235,-15.8,,Wide,,Technology,Software - Infrastructure
707,JEF,Jefferies Financial Group Inc,54.6,46,-15.8,,None,,Financial Services,Capital Markets
708,IDXX,IDEXX Laboratories Inc,559.07,470,-15.9,,Wide,,Healthcare,Diagnostics & Research
709,UAL,United Airlines Holdings Inc,121.33,102,-15.9,,None,,Industrials,Airlines
710,BNTX,BioNTech SE ADR,90.58,76,-16.1,,None,,Healthcare,Biotechnology
711,S,SentinelOne Inc Class A,19.06,16,-16.1,,None,,Technology,Software - Infrastructure
712,MLM,Martin Marietta Materials Inc,525.14,440,-16.2,,Narrow,,Basic Materials,Building Materials
713,DCI,Donaldson Co Inc,94.24,79,-16.2,,Narrow,,Industrials,Specialty Industrial Machinery
714,TGT,Target Corp,144.49,121,-16.3,,None,,Consumer Defensive,Discount Stores
715,SNA,Snap-on Inc,410.41,343,-16.4,,Narrow,,Industrials,Tools & Accessories
716,FDX,FedEx Corp,307.4,257,-16.4,,Narrow,,Industrials,Integrated Freight & Logistics
717,CFR,Cullen/Frost Bankers Inc,166.34,139,-16.4,,Narrow,,Financial Services,Banks - Regional
718,LIVN,LivaNova PLC,80.14,67,-16.4,,Narrow,,Healthcare,Medical Devices
719,FAST,Fastenal Co,47.71,39.9,-16.4,,Wide,,Industrials,Industrial Distribution
720,CAT,Caterpillar Inc,814.81,680,-16.5,,Wide,,Industrials,Farm & Heavy Construction Machinery
721,CM,Canadian Imperial Bank of Commerce,118.55,99,-16.5,,Narrow,,Financial Services,Banks - Diversified
722,AXON,Axon Enterprise Inc,527.76,440,-16.6,,Wide,,Industrials,Aerospace & Defense
723,LYV,Live Nation Entertainment Inc,174.13,145,-16.7,,Narrow,,Communication Services,Entertainment
724,WIT,Wipro Ltd ADR,1.98,1.65,-16.7,,None,,Technology,Information Technology Services
725,EXPE,Expedia Group Inc,294.74,245,-16.9,,Narrow,,Consumer Cyclical,Travel Services
726,SOLV,Solventum Corp,85.44,71,-16.9,,None,,Healthcare,Medical Instruments & Supplies
727,ING,ING Groep NV ADR,34.93,29,-17.0,,Narrow,,Financial Services,Banks - Diversified
728,HIMS,Hims & Hers Health Inc Ordinary Shares - Class A,27.77,23,-17.2,,None,,Healthcare,Drug Manufacturers - Specialty & Generic
729,PENN,PENN Entertainment Inc,20.53,17,-17.2,,None,,Consumer Cyclical,Resorts & Casinos
730,PSO,Pearson PLC ADR,16.94,14,-17.4,,None,,Communication Services,Publishing
731,SNDK,SanDisk Corp Ordinary Shares,1214.83,1000,-17.7,,None,,Technology,Computer Hardware
732,RCL,Royal Caribbean Group,318.3,262,-17.7,,Narrow,,Consumer Cyclical,Travel Services
733,DOV,Dover Corp,204.62,168,-17.9,,Narrow,,Industrials,Specialty Industrial Machinery
734,CMI,Cummins Inc,634.2,520,-18.0,,Narrow,,Industrials,Specialty Industrial Machinery
735,ADM,Archer-Daniels-Midland Co,79.27,65,-18.0,,None,,Consumer Defensive,Farm Products
736,KNX,Knight-Swift Transportation Holdings Inc Class A,69.53,57,-18.0,,None,,Industrials,Trucking
737,WELL,Welltower Inc,234.44,192,-18.1,,None,,Real Estate,REIT - Healthcare Facilities
738,STX,Seagate Technology Holdings PLC,856.13,700,-18.2,,None,,Technology,Computer Hardware
739,TD,The Toronto-Dominion Bank,119.92,98,-18.3,,Wide,,Financial Services,Banks - Diversified
740,SBUX,Starbucks Corp,105.25,86,-18.3,,Wide,,Consumer Cyclical,Restaurants
741,STT,State Street Corp,184.16,150,-18.5,,Wide,,Financial Services,Asset Management
742,STT,State Street Corp,184.16,150,-18.5,,Wide,,Financial Services,Asset Management
743,HEI,Heico Corp,356.36,290,-18.6,,Narrow,,Industrials,Aerospace & Defense
744,RNG,RingCentral Inc Class A,55.62,45,-19.1,,None,,Technology,Software - Application
745,BJ,BJ's Wholesale Club Holdings Inc,97.78,79,-19.2,,None,,Consumer Defensive,Discount Stores
746,RY,Royal Bank of Canada,209.51,169,-19.3,,Wide,,Financial Services,Banks - Diversified
747,DB,Deutsche Bank AG,36.7,29.6,-19.3,,None,,Financial Services,Banks - Regional
748,ESTC,Elastic NV,65.79,53,-19.4,,None,,Technology,Software - Application
749,ILMN,Illumina Inc,205.1,165,-19.6,,Narrow,,Healthcare,Diagnostics & Research
750,EQNR,Equinor ASA ADR,41.1,33,-19.7,,None,,Energy,Oil & Gas Integrated
751,ETN,Eaton Corp PLC,415.2,333,-19.8,,Wide,,Industrials,Specialty Industrial Machinery
752,MUFG,Mitsubishi UFJ Financial Group Inc ADR,22.45,18,-19.8,,None,,Financial Services,Banks - Diversified
753,WCC,WESCO International Inc,343.49,275,-19.9,,Narrow,,Industrials,Industrial Distribution
754,WRB,WR Berkley Corp,72.54,58,-20.0,,Narrow,,Financial Services,Insurance - Property & Casualty
755,ABBV,AbbVie Inc,250.94,200,-20.3,2,Wide,,Healthcare,Drug Manufacturers - General
756,IBKR,Interactive Brokers Group Inc Class A,87.99,70,-20.4,,Wide,,Financial Services,Capital Markets
757,HUBG,Hub Group Inc Class A,46.53,37,-20.5,,Narrow,,Industrials,Integrated Freight & Logistics
758,TJX,TJX Companies Inc,157.34,125,-20.6,,Wide,,Consumer Cyclical,Apparel Retail
759,ARM,ARM Holdings PLC ADR,239.69,190,-20.7,,Wide,,Technology,Semiconductors
760,PRMB,Primo Brands Corp Ordinary Shares - Class A,22.7,18,-20.7,,None,,Consumer Defensive,Beverages - Non-Alcoholic
761,BOX,Box Inc Class A,31.55,25,-20.8,,None,,Technology,Software - Infrastructure
762,BMO,Bank of Montreal,179.45,142,-20.9,,Narrow,,Financial Services,Banks - Diversified
763,B,Barrick Mining Corp,36.73,29,-21.0,,None,,Basic Materials,Gold
764,BCH,Banco De Chile ADR,41.35,32.6,-21.2,,Narrow,,Financial Services,Banks - Regional
765,GRMN,Garmin Ltd,293.78,231,-21.4,,Narrow,,Technology,Scientific & Technical Instruments
766,KEYS,Keysight Technologies Inc,319.08,250,-21.6,,Wide,,Technology,Scientific & Technical Instruments
767,LLY,Eli Lilly and Co,1148.84,900,-21.7,,Wide,,Healthcare,Drug Manufacturers - General
768,LUV,Southwest Airlines Co,44.97,35.2,-21.7,,None,,Industrials,Airlines
769,MET,MetLife Inc,96.13,75,-22.0,,None,,Financial Services,Insurance - Life
770,CHD,Church & Dwight Co Inc,98.81,77,-22.1,,None,,Consumer Defensive,Household & Personal Products
771,NXT,Nextpower Inc Class A,89.87,70,-22.1,,None,,Technology,Solar
772,COST,Costco Wholesale Corp,951.89,740,-22.3,,Wide,,Consumer Defensive,Discount Stores
773,CSCO,Cisco Systems Inc,115.99,90,-22.4,,Wide,,Technology,Communication Equipment
774,JAZZ,Jazz Pharmaceuticals PLC,252.86,196,-22.5,,None,,Healthcare,Biotechnology
775,NRG,NRG Energy Inc,134.29,104,-22.6,,None,,Utilities,Utilities - Independent Power Producers
