rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
284,AA,Alcoa Corp,45.26,52,14.9,2,None,,Basic Materials,Aluminum
285,SYF,Synchrony Financial,75.79,87,14.8,,None,,Financial Services,Credit Services
286,TIMB,TIM SA ADR,19.17,22,14.8,,None,,Communication Services,Telecom Services
287,UNH,UnitedHealth Group Inc,414.4,475,14.6,,Narrow,,Healthcare,Healthcare Plans
288,MELI,MercadoLibre Inc,1877.95,2150,14.5,,Wide,,Consumer Cyclical,Internet Retail
289,LVS,Las Vegas Sands Corp,48.89,56,14.5,,Narrow,,Consumer Cyclical,Resorts & Casinos
290,ADSK,Autodesk Inc,234.2,268,14.4,,Wide,,Technology,Software - Application
291,IQV,IQVIA Holdings Inc,235.02,268,14.0,,Narrow,,Healthcare,Diagnostics & Research
292,BA,Boeing Co,216.14,246,13.8,,Wide,,Industrials,Aerospace & Defense
293,VLTO,Veralto Corp,94.17,107,13.6,,Wide,,Industrials,Pollution & Treatment Controls
294,DEO,Diageo PLC ADR,88.06,100,13.6,,Wide,,Consumer Defensive,Beverages - Wineries & Distilleries
295,IFF,International Flavors & Fragrances Inc,79.22,90,13.6,,Narrow,,Basic Materials,Specialty Chemicals
296,DELL,Dell Technologies Inc Ordinary Shares - Class C,405.37,460,13.5,,None,,Technology,Computer Hardware
297,POR,Portland General Electric Co,49.33,56,13.5,,Narrow,,Utilities,Utilities - Regulated Electric
298,SABR,Sabre Corp,1.85,2.1,13.5,,None,,Technology,Software - Infrastructure
299,MAS,Masco Corp,71.48,81,13.3,,Wide,,Industrials,Building Products & Equipment
300,LIN,Linde PLC,478.38,540,12.9,,Wide,,Basic Materials,Specialty Chemicals
301,VRSK,Verisk Analytics Inc,194.85,220,12.9,,Wide,,Industrials,Consulting Services
302,O,Realty Income Corp,63.87,72,12.7,,None,,Real Estate,REIT - Retail
303,NWSA,News Corp Class A,27.56,31,12.5,,None,,Communication Services,Entertainment
304,COR,Cencora Inc,311.34,350,12.4,,Narrow,,Healthcare,Medical Distribution
305,PUK,Prudential PLC ADR,30.26,34,12.4,,None,,Financial Services,Insurance - Life
306,ZBRA,Zebra Technologies Corp Ordinary Shares - Class A,293.82,330,12.3,,Narrow,,Technology,Communication Equipment
307,ABNB,Airbnb Inc Ordinary Shares - Class A,151.52,170,12.2,4,Wide,,Consumer Cyclical,Travel Services
308,GSK,GSK PLC ADR,51.69,58,12.2,,Wide,,Healthcare,Drug Manufacturers - General
309,GLW,Corning Inc,138.25,155,12.1,,Narrow,,Technology,Electronic Components
310,SPOT,Spotify Technology SA,499.94,560,12.0,,Narrow,,Communication Services,Internet Content & Information
311,ONC,BeOne Medicines Ltd ADR,316.01,354,12.0,,None,,Healthcare,Biotechnology
312,HRL,Hormel Foods Corp,25.01,28,12.0,,Narrow,,Consumer Defensive,Packaged Foods
313,THC,Tenet Healthcare Corp,254.78,285,11.9,,Narrow,,Healthcare,Medical Care Facilities
314,TEL,TE Connectivity PLC Registered Shares,205.69,230,11.8,,Narrow,,Technology,Electronic Components
315,CF,CF Industries Holdings Inc,125.19,140,11.8,,Narrow,,Basic Materials,Agricultural Inputs
316,FBIN,Fortune Brands Innovations Inc,49.26,55,11.7,,Narrow,,Industrials,Building Products & Equipment
317,TDG,TransDigm Group Inc,1254.38,1400,11.6,,Wide,,Industrials,Aerospace & Defense
318,LAD,Lithia Motors Inc Class A,385.42,430,11.6,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
319,FOXA,Fox Corp Class A,58.23,65,11.6,,None,,Communication Services,Entertainment
320,HAL,Halliburton Co,32.25,36,11.6,,Narrow,,Energy,Oil & Gas Equipment & Services
321,LMT,Lockheed Martin Corp,582.74,650,11.5,,Wide,,Industrials,Aerospace & Defense
322,SLG,SL Green Realty Corp,52.93,59,11.5,,None,,Real Estate,REIT - Office
323,IREN,IREN Ltd,36.8,41,11.4,,None,,Financial Services,Capital Markets
324,AMD,Advanced Micro Devices Inc,476.15,530,11.3,3,Narrow,,Technology,Semiconductors
325,SUNB,Sunbelt Rentals Holdings Inc,71.92,80,11.2,,Narrow,,Industrials,Rental & Leasing Services
326,BIRK,Birkenstock Holding PLC,38.72,43,11.1,,Narrow,,Consumer Cyclical,Footwear & Accessories
327,DTE,DTE Energy Co,141.87,157,10.7,,Narrow,,Utilities,Utilities - Regulated Electric
328,PEN,Penumbra Inc,321.19,355,10.5,,None,,Healthcare,Medical Devices
329,AMZN,Amazon.com Inc,271.58,300,10.5,3,Wide,,Consumer Cyclical,Internet Retail
330,CRH,CRH PLC,95.01,105,10.5,,Narrow,,Basic Materials,Building Materials
331,WING,Wingstop Inc,129.49,143,10.4,,Narrow,,Consumer Cyclical,Restaurants
